Date,Open,High,Low,Close,Adj Close,Volume
11/2/2015,37000.00,37150.00,36500.00,36900.00,33903.27,1200400.00
11/3/2015,37200.00,37300.00,36800.00,36800.00,33811.39,1168500.00
11/4/2015,37100.00,37200.00,36825.00,37025.00,34018.12,1340700.00
11/5/2015,37025.00,37100.00,36675.00,36775.00,33788.42,1065400.00
11/6/2015,36700.00,37150.00,36700.00,37000.00,33995.15,768400.00
11/9/2015,36950.00,36950.00,36550.00,36700.00,33719.52,879800.00
11/10/2015,36525.00,36700.00,35400.00,35400.00,32525.09,1900800.00
11/11/2015,35500.00,36050.00,35100.00,35175.00,32318.37,2408000.00
11/12/2015,35200.00,35700.00,34600.00,34600.00,31790.06,957700.00
11/13/2015,34600.00,36700.00,34500.00,36300.00,33352.00,1969300.00
11/16/2015,36000.00,36800.00,35450.00,36300.00,33352.00,1236500.00
11/17/2015,36600.00,36850.00,36375.00,36375.00,33420.91,673200.00
11/18/2015,36275.00,36600.00,36100.00,36525.00,33558.73,598800.00
11/19/2015,36600.00,37025.00,36600.00,36700.00,33719.52,1274500.00
11/20/2015,36700.00,37250.00,36650.00,37250.00,34224.85,953000.00
11/23/2015,37250.00,37700.00,37150.00,37550.00,34500.49,806400.00
11/24/2015,37550.00,37600.00,36650.00,36925.00,33926.24,877100.00
11/25/2015,36925.00,37825.00,36925.00,37800.00,34730.18,1788100.00
11/26/2015,37800.00,38200.00,37025.00,37050.00,34041.09,1270900.00
11/27/2015,37050.00,38500.00,36650.00,38500.00,35373.34,900700.00
11/30/2015,37850.00,38000.00,36750.00,36750.00,33765.45,5142500.00
12/1/2015,37650.00,37825.00,36800.00,37400.00,34362.67,1883400.00
12/2/2015,37000.00,37575.00,36625.00,36775.00,34100.25,1506200.00
12/3/2015,36500.00,36900.00,36500.00,36750.00,34077.07,878500.00
12/4/2015,36550.00,36875.00,36025.00,36175.00,33543.89,1796100.00
12/7/2015,36050.00,36675.00,35600.00,35750.00,33149.80,1957100.00
12/8/2015,35350.00,35425.00,35025.00,35100.00,32547.08,2736500.00
12/9/2015,35100.00,35100.00,35100.00,35100.00,32547.08,0.00
12/10/2015,35100.00,35450.00,35100.00,35375.00,32802.08,1693200.00
12/11/2015,35375.00,35400.00,34500.00,34675.00,32152.99,1955700.00
12/14/2015,35800.00,35800.00,34150.00,35150.00,32593.44,1433800.00
12/15/2015,35000.00,35150.00,34525.00,35125.00,32570.26,1878600.00
12/16/2015,35625.00,35675.00,35125.00,35350.00,32778.89,1426000.00
12/17/2015,36000.00,37000.00,35500.00,37000.00,34308.89,3293900.00
